Participant,RT,NumberOfPieces,Box,Strategy,
27,255,20,nobox,edges,
27,358,24,nobox,edges,
28,90,12,nobox,,
28,128,16,box,mixed,
28,273,20,box,mixed,
28,472,24,nobox,mixed,
29,279,12,nobox,,
29,529,16,nobox,edges,
29,282,20,box,edges,
29,593,24,box,mixed,
30,134,12,box,,
30,247,16,nobox,edges,
30,,20,nobox,,did not finish
30,444,24,box,edges,
31,272,12,box,,
31,,16,box,,did not finish
31,394,20,nobox,mixed,
31,900,24,nobox,edges,
32,154,12,nobox,,
32,231,16,box,edges,
32,289,20,box,edges,
32,451,24,nobox,mixed,
33,118,12,nobox,,
33,242,16,nobox,edges,
33,313,20,box,edges,
33,440,24,box,edges,
34,71,12,box,,
34,150,16,nobox,edges,
34,212,20,nobox,corners,
34,165,24,box,corners,
35,112,12,box,,
35,140,16,box,mixed,
35,450,20,nobox,mixed,
35,495,24,nobox,mixed,
36,59,12,nobox,,
36,67,16,box,edges,
36,100,20,box,edges,
36,217,24,nobox,edges,
37,230,12,nobox,,
37,217,16,nobox,mixed,
37,396,20,box,mixed,
37,341,24,box,mixed,
38,59,12,box,,
38,75,16,nobox,corners,
38,117,20,nobox,corners,
38,136,24,box,edges,
39,41,12,box,,
39,52,16,box,mixed,
39,107,20,nobox,edges,
39,181,24,nobox,edges,
40,175,12,nobox,,
40,140,16,box,edges,
40,218,20,box,edges,
40,800,24,nobox,edges,
41,47,12,nobox,,
41,55,16,nobox,edges,
41,81,20,box,edges,
41,105,24,box,corners,
42,37,12,box,,
42,95,16,nobox,edges,
42,145,20,nobox,edges,
42,118,24,box,mixed,
43,98,12,box,,
43,212,16,box,mixed,
43,536,20,nobox,mixed,
43,341,24,nobox,mixed,
44,212,12,nobox,,
44,126,16,box,edges,
44,129,20,box,edges,
44,219,24,nobox,edges,
45,62,12,nobox,,
45,89,16,nobox,mixed,
45,158,20,box,mixed,
45,157,24,box,mixed,
46,39,12,box,,
46,75,16,nobox,edges,
46,84,20,nobox,edges,
46,91,24,box,edges,
47,61,12,box,,
47,175,16,nobox,mixed,
47,219,20,nobox,mixed,
47,199,24,box,mixed,
48,99,12,box,,
48,106,16,box,mixed,
48,206,20,nobox,edges,
48,338,24,nobox,edges,
49,274,12,nobox,,
49,229,16,box,edges,
49,341,20,box,mixed,
49,732,24,nobox,mixed,
50,91,12,nobox,,
50,83,16,nobox,edges,
50,153,20,box,mixed,
50,190,24,box,mixed,
51,159,12,nobox,,
51,437,16,box,mixed,
51,407,20,box,mixed,
51,533,24,nobox,mixed,
52,73,12,nobox,,
52,71,16,nobox,mixed,
52,110,20,box,mixed,
52,121,24,box,mixed,
53,97,12,box,,
53,219,16,nobox,mixed,
53,264,20,nobox,edges,
53,273,24,box,mixed,
54,80,12,box,,
54,144,16,box,mixed,
54,584,20,nobox,mixed,
54,688,24,nobox,edges,
55,30,12,nobox,,
55,39,16,box,mixed,
55,131,20,box,edges,
55,116,24,nobox,edges,
56,33,12,nobox,,
56,44,16,nobox,mixed,
56,102,20,box,edges,
56,114,24,box,edges,
57,50,12,box,,
57,110,16,nobox,edges,
57,212,20,nobox,edges,
57,257,24,box,mixed,
58,58,12,box,,
58,126,16,box,mixed,
58,343,20,nobox,mixed,
58,,24,nobox,,did not finish
59,58,12,nobox,,
59,62,16,box,edges,
59,98,20,box,edges,
59,249,24,nobox,edges,
60,156,12,nobox,,
60,308,16,nobox,edges,
60,224,20,box,corners,
60,290,24,box,corners,
61,47,12,box,,
61,80,16,nobox,edges,
61,98,20,nobox,edges,
61,150,24,box,edges,
62,60,12,nobox,,
62,110,16,box,mixed,
62,150,20,box,mixed,
62,,24,nobox,,piece missing
63,50,12,nobox,,
63,68,16,box,mixed,
63,98,20,box,edges,
63,193,24,nobox,edges,
64,62,12,nobox,,
64,129,16,nobox,edges,
64,172,20,box,edges,
